Object,Star,Star_type,Mass (M?),Radius (R?),Flux,Planet_Temp(K),Period (days),Distance(ly),Refs_Notes,Distance_mother_star(AU),Tem_Star(K),Absolute_magnitud,Radio_Star(m),Albedo,Solar_Flux (W/m^2),Star_radio(AU),Distance_Star_planet(m),Produc_Entropy,Planet_Diameter (m)
Kepler-1632b,Kepler-1632,F?V,,2.47,1.27,270,448.3,2337,,0.6762,6137,-6.597319365,828240000,0.77644125,2465.226156,0.005536364,1.01E+11,1.93011,31472.74
Kepler-1638b,Kepler-1638,G4V,,1.87,1.39,276,259.3,4973,[30],0.745,5710,-5.216126926,661200000,0.379614085,1177.416167,0.004419786,1.12E+11,1.61016,23827.54
Kepler-1649c,Kepler-1649,M5V,,1.06,0.75,237,19.5,301,[19],0.0514,3240,-4.707627603,161263200,0.739629239,7.260565697,0.001077963,7710000000,1.34764,13506.52
Kepler-1701b,Kepler-1701,K?V,,2.22,1.37,275,169.1,1904,[1][34],0.5608,5146,-5.431955537,584791032,0.328587491,607.5757158,0.003909031,84120000000,1.57239,28287.24
Teegarden's Star b,Teegarden's Star,M7V,1.05,,1.15,264,4.91,12.58,[15],0.0252,2637,,88392000,0.269073804,0.957163903,0.000590856,3780000000,1.36949,0
TRAPPIST-1e,TRAPPIST-1,M8V,0.77,0.91,0.67,230,6.1,39,Confirmed to be rocky[17][18],0.02928285,2566,-3.322107855,82963200,0.280114195,0.75599247,0.000554567,4392427500,0.909082,11595.22
Snow Ball Earth,SunÃ‚Â (Sol),G2V,1,1,1,223.15,365.24,,[14],1,5425.68,-4.091620873,696000000,0.471219343,1063.543004,0.004652406,1.50E+11,0.873454,12742
Venus,SunÃ‚Â (Sol),G2V,0.9499,0.815,1,700,583.92,,[14],0.728213,5772,,696000000,-20.19866076,1362.208672,0.004652406,1.09E+11,0.886829,10384.73
KOI-4878.01[7],KOI-4878,F,1,1,1.05,258,449,1075,,1.125,6031,-3.611670648,737760000,0.302860768,1824.346784,0.004931551,1.69E+11,1.28557,12742
COROT-22b,COROT-22,G0IV,0.038,0.435,,885,9.75598,1930,,0.092,5939,-1.999566991,765600000,0.362596028,1847.468416,0.005117647,13800000000,54.2339,5542.77
K2-3c,K2-3,M0V,,0.165,,344,24.64354,143.9,[13],0.1399,3896,0.305833482,390456000,0.301490394,88.98972535,0.00261,20985000000,3.06573,2102.43
K2-3d,K2-3,M0V,,0.135,,282,44.55983,143.9,[13],0.2076,3896,0.727706569,390456000,0.305368753,88.98972535,0.00261,31140000000,3.71918,1720.17
WASP-41c,WASP-41,G,3.18,,,241,421,590,,1.07,5545,,626400000,0.067928553,939.7873002,0.004187166,1.61E+11,1.00276,0
WASP-47d,WASP-41,G,1.57,,,247,580.7,650,,1.41,5545,,626400000,-0.785827542,939.7873002,0.004187166,2.12E+11,,0
PH2b,PH2,G,,0.903,,281,282.5255,1130,,0.828,5629,-3.32923367,730800000,0.28634706,1358.444638,0.004885027,1.24E+11,1.65673,11506.026
Gliese 785 c,HD 192310,Ã‚Â K2V,0.076,,,185,525.8,28.7,,1.18,5166,,549840000,0.321915468,545.5193262,0.003675401,1.77E+11,0.476427,0
